"","x"
"1","SLN"
"2","MIN"
"3","CLE"
"4","CHA"
"5","TOR"
"6","TEX"
"7","ANA"
"8","BAL"
"9","SFN"
"10","PIT"
"11","SDN"
"12","ATL"
"13","COL"
"14","BOS"
"15","NYN"
"16","KCA"
"17","DET"
"18","SEA"
"19","HOU"
"20","LAN"
"21","CHN"
"22","TBA"
"23","WAS"
"24","NYA"
"25","OAK"
"26","MIA"
"27","CIN"
"28","PHI"
"29","ARI"
"30","MIL"
