,retro,odds
1,SLN,STL
2,CHA,CWS
3,ANA,LAA
4,SFN,SFO
5,SDN,SDG
6,NYN,NYM
7,KCA,KAN
8,LAN,LAD
9,CHN,CUB
10,TBA,TAM
11,NYA,NYY
12,LAN,LOS
24,SFN,SFG
25,BOS,BRS
26,CHN,CHC
